matchup,episode,score
C_vs_A,36,-4
C_vs_A,37,0
C_vs_A,38,-2
C_vs_A,39,-5
C_vs_A,40,-1
C_vs_A,41,0
C_vs_A,42,-1
C_vs_A,43,2
C_vs_A,44,-3
C_vs_A,45,-2
C_vs_A,46,1
C_vs_A,47,-4
C_vs_A,48,-1
C_vs_A,49,-1
C_vs_A,50,-3
C_vs_A,51,-2
C_vs_A,52,-3
C_vs_A,53,-4
C_vs_A,54,-2
C_vs_A,55,-1
C_vs_A,56,-5
C_vs_A,57,0
C_vs_A,58,-4
C_vs_A,59,-2
C_vs_A,60,-3
C_vs_A,61,-1
C_vs_A,62,-3
C_vs_A,63,-1
C_vs_A,64,-1
C_vs_A,65,-1
C_vs_A,66,-1
C_vs_A,67,-3
C_vs_A,68,-1
C_vs_A,69,-2
C_vs_A,70,-5
C_vs_A,71,-1
C_vs_A,72,-2
C_vs_A,73,-2
C_vs_A,74,-5
C_vs_A,75,-4
C_vs_A,76,0
C_vs_A,77,0
C_vs_A,78,-4
C_vs_A,79,2
C_vs_A,80,-2
C_vs_A,81,-3
C_vs_A,82,-2
C_vs_A,83,-3
C_vs_A,84,0
C_vs_A,85,-2
C_vs_A,86,-4
C_vs_A,87,-4
C_vs_A,88,-5
C_vs_A,89,-1
C_vs_A,90,-2
C_vs_A,91,-2
C_vs_A,92,-2
C_vs_A,93,-2
C_vs_A,94,-3
C_vs_A,95,0
C_vs_A,96,-3
C_vs_A,97,-3
C_vs_A,98,-1
C_vs_A,99,-3
C_vs_A,100,-1
C_vs_A,101,-1
C_vs_A,102,-5
C_vs_A,103,0
C_vs_A,104,-3
C_vs_A,105,-3
C_vs_A,106,0
C_vs_A,107,-3
C_vs_A,108,-3
C_vs_A,109,-4
C_vs_A,110,0
C_vs_A,111,-2
C_vs_A,112,-4
C_vs_A,113,-2
C_vs_A,114,-3
C_vs_A,115,-3
C_vs_A,116,1
C_vs_A,117,-1
C_vs_A,118,-2
C_vs_A,119,-3
C_vs_A,120,-3
C_vs_A,121,1
C_vs_A,122,-1
C_vs_A,123,-4
C_vs_A,124,-2
C_vs_A,125,-1
C_vs_A,126,-2
C_vs_A,127,-1
C_vs_A,128,-4
C_vs_A,129,0
C_vs_A,130,-2
C_vs_A,131,-2
C_vs_A,132,-2
C_vs_A,133,-1
C_vs_A,134,-2
C_vs_A,135,0
C_vs_A,136,-3
C_vs_A,137,0
C_vs_A,138,2
C_vs_A,139,-1
C_vs_A,140,-2
C_vs_A,141,-1
C_vs_A,142,-3
C_vs_A,143,-1
C_vs_A,144,-2
C_vs_A,145,-2
C_vs_A,146,-2
C_vs_A,147,0
C_vs_A,148,-2
C_vs_A,149,-5
C_vs_A,150,-3
C_vs_A,151,-1
C_vs_A,152,-3
C_vs_A,153,-1
C_vs_A,154,-2
C_vs_A,155,0
C_vs_A,156,-4
C_vs_A,157,0
C_vs_A,158,0
C_vs_A,159,-2
C_vs_A,160,-2
C_vs_A,161,-2
C_vs_A,162,-2
C_vs_A,163,-4
C_vs_A,164,-3
C_vs_A,165,-4
C_vs_A,166,-2
C_vs_A,167,-2
C_vs_A,168,-3
C_vs_A,169,-3
C_vs_A,170,-5
C_vs_A,171,-3
C_vs_A,172,-1
C_vs_A,173,1
C_vs_A,174,-2
C_vs_A,175,-1
C_vs_A,176,-1
C_vs_A,177,-3
C_vs_A,178,-1
C_vs_A,179,-3
C_vs_A,180,-2
C_vs_A,181,-3
C_vs_A,182,-2
C_vs_A,183,-3
C_vs_A,184,-1
C_vs_A,185,-2
C_vs_A,186,-4
C_vs_A,187,-4
C_vs_A,188,-3
C_vs_A,189,-2
C_vs_A,190,1
C_vs_A,191,-5
C_vs_A,192,-2
C_vs_A,193,-2
C_vs_A,194,-3
C_vs_A,195,-1
C_vs_A,196,-1
C_vs_A,197,-1
C_vs_A,198,-3
C_vs_A,199,-5
C_vs_A,200,-3

matchup,n,mean,std,median,min,max,win_rate,loss_rate,draw_rate
C_vs_B,200,-0.8400,1.3358,-1.0,-5.0,4.0,12.0,57.0,31.0
A_vs_B,200,0.0650,1.1004,0.0,-4.0,3.0,28.5,26.5,45.0
C_vs_A,200,-1.9500,1.5772,-2.0,-5.0,2.0,6.5,82.5,11.0
